Year,oversupply  ,baseline    ,supply_const,ev_boom
1,1440000.00,1440000.00,1440000.00,1440000.00
2,1440000.00,1440000.00,1440000.00,1440000.00
3,1440000.00,1440000.00,1440000.00,1440000.00
4,1440000.00,1440000.00,1440000.00,1440000.00
5,1440000.00,1440000.00,1440000.00,1440000.00
6,2147012.60,1440000.00,1440000.00,1440000.00
7,3235396.17,2473280.78,2037898.07,1610698.39
8,3600000.00,3600000.00,3600000.00,3537803.34
9,3600000.00,3600000.00,3600000.00,3600000.00
10,3600000.00,3600000.00,3600000.00,3600000.00
11,3294495.71,3600000.00,3600000.00,3600000.00
12,2403095.53,3390990.70,3600000.00,3600000.00
13,1440000.00,1615728.52,1842101.93,2331498.26
14,1440000.00,1440000.00,1440000.00,1440000.00
15,1440000.00,1440000.00,1440000.00,1440000.00
16,1440000.00,1440000.00,1440000.00,1440000.00
17,1440000.00,1440000.00,1440000.00,1440000.00
18,1440000.00,1440000.00,1440000.00,1440000.00
19,1440000.00,1440000.00,1440000.00,1440000.00
20,1440000.00,1440000.00,1440000.00,1440000.00
21,1440000.00,1440000.00,1440000.00,1440000.00
22,1440000.00,1440000.00,1440000.00,1440000.00
23,1440000.00,1440000.00,1440000.00,1440000.00
24,1440000.00,1440000.00,1440000.00,1440000.00
25,1440000.00,1440000.00,1440000.00,1440000.00
26,1440000.00,1440000.00,1440000.00,1440000.00
27,1440000.00,1440000.00,1440000.00,1440000.00
28,1440000.00,1440000.00,1440000.00,1440000.00
29,1440000.00,1440000.00,1440000.00,1440000.00
30,1440000.00,1440000.00,1440000.00,1440000.00
