Year,oversupply  ,baseline    ,supply_const,ev_boom
1,53560000.00,53560000.00,53560000.00,53560000.00
2,52120000.00,52120000.00,52120000.00,52120000.00
3,50680000.00,50680000.00,50680000.00,50680000.00
4,49240000.00,49240000.00,49240000.00,49240000.00
5,47800000.00,47800000.00,47800000.00,47800000.00
6,45652987.40,46360000.00,46360000.00,46360000.00
7,42417591.24,43886719.22,44322101.93,44749301.61
8,38817591.24,40286719.22,40722101.93,41211498.26
9,35217591.24,36686719.22,37122101.93,37611498.26
10,31617591.24,33086719.22,33522101.93,34011498.26
11,28323095.53,29486719.22,29922101.93,30411498.26
12,25920000.00,26095728.52,26322101.93,26811498.26
13,24480000.00,24480000.00,24480000.00,24480000.00
14,23040000.00,23040000.00,23040000.00,23040000.00
15,21600000.00,21600000.00,21600000.00,21600000.00
16,20160000.00,20160000.00,20160000.00,20160000.00
17,18720000.00,18720000.00,18720000.00,18720000.00
18,17280000.00,17280000.00,17280000.00,17280000.00
19,15840000.00,15840000.00,15840000.00,15840000.00
20,14400000.00,14400000.00,14400000.00,14400000.00
21,12960000.00,12960000.00,12960000.00,12960000.00
22,11520000.00,11520000.00,11520000.00,11520000.00
23,10080000.00,10080000.00,10080000.00,10080000.00
24,8640000.00,8640000.00,8640000.00,8640000.00
25,7200000.00,7200000.00,7200000.00,7200000.00
26,5760000.00,5760000.00,5760000.00,5760000.00
27,4320000.00,4320000.00,4320000.00,4320000.00
28,2880000.00,2880000.00,2880000.00,2880000.00
29,1440000.00,1440000.00,1440000.00,1440000.00
30,0.00,0.00,0.00,0.00
