Year,oversupply  ,baseline    ,supply_const,ev_boom
1,1326.38,1326.38,1326.38,1326.38
2,2079.63,2454.71,2529.72,2604.74
3,2747.97,3500.00,3652.66,3806.06
4,3338.30,4469.23,4702.22,4937.51
5,3856.99,5368.81,5684.91,6005.69
6,4223.08,6204.65,6606.69,7016.68
7,4395.13,6855.35,7399.68,7955.18
8,4466.93,7314.48,7950.64,8610.83
9,4487.74,7724.90,8455.97,9217.33
10,4461.76,8090.87,8920.01,9786.79
11,4430.31,8416.30,9346.72,10323.33
12,4468.85,8730.45,9739.82,10830.78
13,4589.40,9228.86,10318.44,11468.38
14,4676.76,9718.28,10919.34,12193.17
15,4733.70,10179.98,11496.10,12898.81
16,4762.72,10616.54,12051.38,13588.15
17,4766.15,11030.37,12587.69,14263.84
18,4746.15,11423.69,13107.36,14928.39
19,4704.66,11798.54,13612.50,15584.09
20,4643.50,12156.79,14105.10,16233.12
21,4564.34,12500.20,14587.02,16877.53
22,4468.69,12830.37,15059.96,17519.20
23,4357.96,13148.78,15525.51,18159.94
24,4233.45,13456.81,15985.16,18801.42
25,4096.35,13755.72,16440.29,19445.24
26,3947.73,14046.68,16892.18,20092.92
27,3788.62,14330.80,17342.06,20745.88
28,3619.93,14609.07,17791.03,21405.48
29,3442.51,14882.42,18240.15,22073.00
30,3257.15,15151.74,18690.43,22749.72
