Year,Scenario,Extraction_tonnes,Scarcity_Rent_USD,Discount_Factor,Yearly_NPV_USD,Cumulative_NPV_USD,NPV_Share_Percent
1,oversupply  ,1440000.00,1326.38,1.000000,1909991127.27,1909991127.27,2.60
2,oversupply  ,1440000.00,2079.63,0.900901,2697892481.57,4607883608.85,3.68
3,oversupply  ,1440000.00,2747.97,0.811622,3211650175.97,7819533784.82,4.38
4,oversupply  ,1440000.00,3338.30,0.731191,3514951174.03,11334484958.85,4.79
5,oversupply  ,1440000.00,3856.99,0.658731,3658633787.59,14993118746.44,4.99
6,oversupply  ,2147012.60,4223.08,0.593451,5380821721.26,20373940467.70,7.33
7,oversupply  ,3235396.17,4395.13,0.534641,7602590395.60,27976530863.29,10.36
8,oversupply  ,3600000.00,4466.93,0.481658,7745520373.81,35722051237.11,10.55
9,oversupply  ,3600000.00,4487.74,0.433926,7010463923.37,42732515160.47,9.55
10,oversupply  ,3600000.00,4461.76,0.390925,6279168320.72,49011683481.20,8.56
11,oversupply  ,3294495.71,4430.31,0.352184,5140359387.43,54152042868.63,7.00
12,oversupply  ,2403095.53,4468.85,0.317283,3407326005.21,57559368873.83,4.64
13,oversupply  ,1440000.00,4589.40,0.285841,1889045472.34,59448414346.18,2.57
14,oversupply  ,1440000.00,4676.76,0.257514,1734238548.78,61182652894.96,2.36
15,oversupply  ,1440000.00,4733.70,0.231995,1581397842.27,62764050737.23,2.15
16,oversupply  ,1440000.00,4762.72,0.209004,1433417077.84,64197467815.07,1.95
17,oversupply  ,1440000.00,4766.15,0.188292,1292297813.52,65489765628.59,1.76
18,oversupply  ,1440000.00,4746.15,0.169633,1159346314.51,66649111943.10,1.58
19,oversupply  ,1440000.00,4704.66,0.152822,1035325822.96,67684437766.07,1.41
20,oversupply  ,1440000.00,4643.50,0.137678,920601432.83,68605039198.89,1.25
21,oversupply  ,1440000.00,4564.34,0.124034,815230608.02,69420269806.91,1.11
22,oversupply  ,1440000.00,4468.69,0.111742,719051302.50,70139321109.41,0.98
23,oversupply  ,1440000.00,4357.96,0.100669,631741991.79,70771063101.20,0.86
24,oversupply  ,1440000.00,4233.45,0.090693,552876210.92,71323939312.12,0.75
25,oversupply  ,1440000.00,4096.35,0.081705,481956225.82,71805895537.94,0.66
26,oversupply  ,1440000.00,3947.73,0.073608,418442317.31,72224337855.25,0.57
27,oversupply  ,1440000.00,3788.62,0.066314,361781029.62,72586118884.87,0.49
28,oversupply  ,1440000.00,3619.93,0.059742,311416810.54,72897535695.41,0.42
29,oversupply  ,1440000.00,3442.51,0.053822,266805519.90,73164341215.31,0.36
30,oversupply  ,1440000.00,3257.15,0.048488,227422383.83,73391763599.14,0.31
1,baseline    ,1440000.00,1326.38,1.000000,1909991127.27,1909991127.27,1.46
2,baseline    ,1440000.00,2454.71,0.900901,3184482751.84,5094473879.12,2.44
3,baseline    ,1440000.00,3500.00,0.811622,4090574938.57,9185048817.69,3.13
4,baseline    ,1440000.00,4469.23,0.731191,4705725001.18,13890773818.87,3.60
5,baseline    ,1440000.00,5368.81,0.658731,5092704819.91,18983478638.78,3.90
6,baseline    ,1440000.00,6204.65,0.593451,5302303618.18,24285782256.96,4.06
7,baseline    ,2473280.78,6855.35,0.534641,9064951606.06,33350733863.01,6.94
8,baseline    ,3600000.00,7314.48,0.481658,12683091031.42,46033824894.43,9.70
9,baseline    ,3600000.00,7724.90,0.433926,12067333723.71,58101158618.14,9.23
10,baseline    ,3600000.00,8090.87,0.390925,11386523623.88,69487682242.02,8.71
11,baseline    ,3600000.00,8416.30,0.352184,10670725455.95,80158407697.97,8.16
